Name,Building Families' Capacity as their Child's Primary Advocate,Building Families' Capacity as their Child's Primary Teacher,Inclusive Leadership,Outreach to Parents,Parent Involvement in School,Parent-Principal Trust,Parent-Teacher Trust,Strong Relationships,Two-Way Communication
KBYF - EDITH AND KARL MARKS JCH OF BENSONHURST,86.0,100.0,100.0,100.0,97.0,100.0,100.0,100.0,100.0
KBYG - HAPPY DRAGON CHILDREN AND FAMILY CENTER,94.0,97.0,97.0,99.0,95.0,99.0,99.0,97.0,97.0
"KBYJ - AL MADINAH SCHOOL, INC.",80.0,100.0,95.0,100.0,90.0,100.0,100.0,100.0,100.0
KBYM - FRIENDS OF CROWN HEIGHTS 26,55.0,100.0,100.0,100.0,77.0,100.0,100.0,100.0,91.0
KBZU - Bedford Stuyvesant ECDC 510,,,85.0,92.0,100.0,95.0,93.0,,
KBZX - YESHIVA TORAH VODAATH PRESCHOOL,100.0,100.0,89.0,93.0,100.0,95.0,94.0,100.0,100.0
KCAK - KINDSTART PRESCHOOL,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
KCBJ - CONGREGATION YESHIVA BNEI TORAH,100.0,100.0,93.0,100.0,100.0,100.0,100.0,100.0,100.0
KCBR - YESHIVAT DARCHE ERES,80.0,80.0,83.0,83.0,83.0,83.0,83.0,80.0,80.0
KCDM - BUTTERFLY CHILD CARE,100.0,100.0,100.0,100.0,95.0,100.0,100.0,100.0,100.0
KCEB - BROOKLYN CHINESE AMERICAN ASSOCIATION,89.0,92.0,97.0,99.0,95.0,100.0,99.0,98.0,92.0
KCFA - FIRSTSTEP NYC,100.0,99.0,100.0,100.0,94.0,100.0,100.0,99.0,99.0
KCGO - CHILD DEVELOPMENT CENTER OF KINGSBOROUGH,60.0,100.0,83.0,100.0,90.0,100.0,100.0,100.0,100.0
KCGR - BROOKLYN CHINESE AMERICAN ASSOCIATION,100.0,100.0,93.0,94.0,99.0,94.0,94.0,100.0,100.0
KCHX - DEZZENTERPRISE LLC,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"KCIC - LITTLE EINSTEINS OF CANARSIE, LLC",88.0,100.0,95.0,100.0,99.0,99.0,98.0,100.0,100.0
KCIE - BNOS CHAYA,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
KCII - KINGS BAY Y AT NORTH WILLIAMSBURG,100.0,100.0,100.0,100.0,96.0,100.0,100.0,100.0,100.0
KCIX - IP KIDS,67.0,94.0,97.0,94.0,92.0,97.0,96.0,94.0,89.0
"KCIY - RONOMOZA, INC. / THE LEARNING EXPERIENCE",60.0,91.0,97.0,99.0,93.0,100.0,100.0,94.0,88.0
KCIZ - Al Madinah School Site 2,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
KCJC - BLUE STAR DAY CARE CENTER,,,100.0,100.0,71.0,100.0,100.0,,
KCJK - LPBC DAY CARE,67.0,67.0,100.0,97.0,79.0,100.0,100.0,83.0,67.0
KCJQ - INITIAL STEPS CHILD DEVELOPMENT CENTER,71.0,93.0,96.0,92.0,100.0,100.0,100.0,86.0,100.0
KCJR - A TO Z DAY CARE CENTER,100.0,100.0,100.0,100.0,99.0,100.0,100.0,100.0,100.0
KCJS - YESHIVA TORAH VODAATH,100.0,100.0,94.0,100.0,97.0,100.0,100.0,100.0,100.0
KCJT - KALEIDOSCOPE EARLY CHILDHOOD DEVELEPMENT CENTER,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
KCJY - ANGEL EARLY CHILDHOOD DEVELOPMENT CENTER,67.0,92.0,90.0,89.0,92.0,92.0,90.0,92.0,92.0
KCKB - BUSHWICK UNITED DEVELOPMENT FUND,,100.0,54.0,80.0,100.0,79.0,78.0,100.0,100.0
"KCKZ - A2Z KIDZ CENTER, LLC",75.0,89.0,92.0,93.0,67.0,100.0,96.0,100.0,78.0
KCLC - SUNNY SKIES PRESCHOOL,94.0,97.0,96.0,96.0,97.0,94.0,98.0,94.0,94.0
KCLD - SUNNY SKIES PROSPECT CORP.,95.0,55.0,100.0,99.0,75.0,100.0,100.0,95.0,86.0
"KCLE - FACES OF THE FUTURE EARLY LEARNING CENTER, LLC",100.0,100.0,100.0,100.0,95.0,100.0,100.0,100.0,100.0
KCML - BRYAN'S EDUCATIONAL CENTER,93.0,97.0,100.0,99.0,85.0,100.0,100.0,100.0,100.0
KCMV - Abc Plus,86.0,100.0,92.0,100.0,75.0,93.0,89.0,100.0,100.0
KCMZ - FREE GREEK COMMUNITY OF THE THREE HIERARCHS,92.0,100.0,100.0,100.0,95.0,100.0,100.0,100.0,100.0
KCNH - KIDDIEPRISE-1520 86TH STREET,92.0,100.0,94.0,98.0,92.0,100.0,100.0,100.0,100.0
"KCNI - KLEVER KIDZ, LLC DBA BASIN PREP",76.0,76.0,97.0,94.0,90.0,100.0,95.0,100.0,76.0
KCNK - LEARN AND EXPLORE,86.0,100.0,100.0,100.0,95.0,100.0,100.0,100.0,100.0
KCNW - OKIE DOKIE DAY CARE,100.0,100.0,89.0,90.0,100.0,90.0,90.0,100.0,100.0
KCNZ - NY PRESCHOOL PARK SLOPE,47.0,88.0,67.0,89.0,91.0,72.0,88.0,85.0,95.0
KCOH - SWEET HOME DAY CARE CENTER,91.0,98.0,99.0,99.0,88.0,100.0,100.0,100.0,95.0
KCOI - TREASURE ISLAND,33.0,72.0,100.0,97.0,89.0,93.0,100.0,100.0,67.0
"KCOL - HAPPY SCHOLARS, INC.",97.0,100.0,100.0,100.0,93.0,100.0,100.0,100.0,100.0
"KCOT - GIOCARE, LLC",89.0,97.0,88.0,88.0,97.0,88.0,85.0,100.0,100.0
"KCOU - MY SUNSHINE KIDS, INC.",85.0,91.0,96.0,95.0,95.0,98.0,98.0,100.0,97.0
KCPC - WONDERLAND P.A. LLC,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"KCPL - BROOKLYN STAR DAYCARE, INC.",65.0,98.0,96.0,99.0,73.0,98.0,99.0,100.0,91.0
KCPN - ONE WORLD PROJECT-BROOKLYN,96.0,96.0,100.0,99.0,100.0,99.0,100.0,100.0,100.0
KCPO - REDEEMER ST. JOHN'S NURSERY SCHOOL,89.0,89.0,100.0,100.0,98.0,100.0,100.0,100.0,100.0
KCPT - NOAH'S ARK UNI DAY CARE CENTER,89.0,88.0,95.0,96.0,95.0,97.0,93.0,100.0,100.0
KCPU - NEW AGE DAY CARE CENTER,100.0,100.0,100.0,100.0,94.0,100.0,100.0,100.0,100.0
KCQX - KINGS POINTE TALENT INC.,88.0,100.0,100.0,100.0,75.0,100.0,100.0,100.0,100.0
KCRB - DREAMLAND DAY CARE,86.0,100.0,100.0,100.0,95.0,100.0,100.0,100.0,100.0
KCRG - WISE KIDZ,91.0,96.0,98.0,98.0,90.0,100.0,100.0,100.0,96.0
KCRK - BAY ONE PRESCHOOL,77.0,98.0,95.0,99.0,90.0,100.0,100.0,100.0,100.0
KCRS - G & T CHILDCARE CORP,100.0,100.0,99.0,98.0,95.0,100.0,99.0,95.0,100.0
"KCRU - A2Z HAPPYLAND, LLC.",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
KCRV - BROOKLYN CHINESE-AMERICAN ASSOCIATION,100.0,100.0,97.0,100.0,98.0,99.0,99.0,100.0,100.0
KCSO - STEP AHEAD LLC,96.0,96.0,95.0,96.0,96.0,99.0,99.0,100.0,96.0
KCSP - WISDOM TREE PRESCHOOL,78.0,100.0,97.0,100.0,100.0,100.0,95.0,100.0,100.0
KCST - LITTLE SUNSHINE CHILD DEVELOPMENT,89.0,89.0,90.0,95.0,99.0,91.0,95.0,95.0,89.0
"KCTC - NEW SUNFLOWER DAYCARE CENTER, LLC",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
KCYP - GOD'S GIFT GROUP FAMILY DAY CARE INC.,100.0,100.0,98.0,92.0,96.0,94.0,92.0,100.0,100.0
MAAY - ASCENSION SCHOOL,57.0,93.0,93.0,97.0,93.0,96.0,93.0,100.0,93.0
MABK - CASSIDY'S PLACE,78.0,85.0,98.0,95.0,88.0,100.0,95.0,100.0,90.0
MADL - GOOD SHEPHERD SCHOOL,63.0,90.0,84.0,94.0,91.0,92.0,93.0,100.0,90.0
MAED - IMMACULATE CONCEPTION SCHOOL,91.0,96.0,90.0,98.0,92.0,92.0,100.0,100.0,91.0
MAEE - INCARNATION SCHOOL,67.0,98.0,96.0,95.0,88.0,96.0,98.0,97.0,98.0
MAFQ - OUR LADY QUEEN OF MARTYRS SCHOOL,77.0,100.0,100.0,99.0,89.0,100.0,100.0,100.0,100.0
MAMQ - LENOX HILL NEIGHBORHOOD HOUSE,100.0,97.0,100.0,100.0,96.0,100.0,100.0,100.0,100.0
"MANK - URBAN CONCEPTS OF NY-ROUND THE CLOCK NURSERY, INC.",83.0,90.0,100.0,100.0,92.0,100.0,100.0,100.0,100.0
MANY - YM & YWHA OF WASHINGTON HEIGHTS AND INWOOD,70.0,98.0,89.0,99.0,94.0,90.0,100.0,95.0,95.0
MAPL - BATTERY PARK CITY DAY NURSERY,59.0,91.0,99.0,100.0,96.0,100.0,100.0,100.0,94.0
MAPM - HAMILTON MADISON HOUSE EARLYLEARN CENTER 2,67.0,93.0,100.0,100.0,94.0,100.0,100.0,100.0,83.0
"MAPR - RIVERSIDE MONTESSORI, INC.",88.0,97.0,94.0,94.0,96.0,94.0,94.0,100.0,100.0
MAPY - GRAND ST SETTLEMENT DUAL CENTER #1,100.0,100.0,100.0,100.0,93.0,100.0,100.0,100.0,100.0
MAQI - CHILD CENTER OF NY,80.0,99.0,100.0,99.0,89.0,100.0,100.0,98.0,96.0
"MAQR - RENA CHILD CARE CENTERS, INC.",93.0,97.0,100.0,100.0,98.0,100.0,100.0,100.0,100.0
MARJ - GRAHAM WINDHAM DCC,89.0,89.0,100.0,94.0,90.0,100.0,97.0,89.0,100.0
MASA - ADDIE MAE COLLINS 3,100.0,100.0,100.0,100.0,98.0,100.0,100.0,100.0,100.0
MASH - FRIENDS OF CROWN HEIGHTS DCC #28,,100.0,100.0,96.0,75.0,100.0,100.0,100.0,100.0
MATK - BANK STREET HEAD START,70.0,95.0,96.0,97.0,96.0,96.0,97.0,95.0,100.0
MATM - CHINESE COMMUNITY CONCERNS CORP.,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
MATO - DEWITT REFORMED CHURCH HEAD START,78.0,98.0,98.0,98.0,95.0,100.0,97.0,100.0,100.0
MATP - LSSMNY: EARLY LIFE CHILDREN'S CENTER 14,94.0,97.0,99.0,95.0,96.0,94.0,99.0,97.0,94.0
MATQ - ESCUELA HISPANA MONTESSORI 2,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
MAUB - UNIVERSITY SETTLEMENT ECC,84.0,95.0,95.0,96.0,89.0,93.0,96.0,95.0,96.0
MAUE - CPC JACOB RIIS CHILD CARE CENTER,100.0,100.0,100.0,89.0,100.0,97.0,93.0,100.0,100.0
MAUH - BELLEVUE-EDUCARE CHILDCARE CENTER,,100.0,100.0,100.0,90.0,100.0,100.0,100.0,100.0
MAUK - CHILDREN'S AID SOCIETY,95.0,97.0,96.0,98.0,97.0,99.0,99.0,97.0,97.0
MAUM - CPC-CHUNG PAK EARLY CHILDHOOD CENTER,95.0,100.0,97.0,98.0,96.0,99.0,100.0,100.0,100.0
MAUN - EISMAN DAY NURSERY,100.0,100.0,100.0,100.0,83.0,100.0,100.0,100.0,100.0
MAUU - CPC-GARMENT INDUSTRY EARLY CHILDHOOD CENTER,100.0,100.0,100.0,100.0,99.0,99.0,100.0,100.0,100.0
MAUW - HAMILTON MADISON HOUSE EARLYLEARN CENTER 4,,,96.0,97.0,92.0,96.0,94.0,,
MAVB - BLOOMINGDALE FAMILY PROGRAM III,67.0,71.0,92.0,89.0,75.0,93.0,95.0,71.0,86.0
MAVR - EAST CALVARY DCC,90.0,100.0,97.0,97.0,65.0,100.0,100.0,100.0,95.0
MAWA - UNION WASHINGTON CHILD CARE CENTER,78.0,100.0,89.0,94.0,95.0,86.0,100.0,100.0,100.0
MAWD - ADDIE MAE COLLINS 2,100.0,100.0,100.0,100.0,100.0,100.0,97.0,100.0,100.0
MAWG - EAST HARLEM CHS BILINGUAL HEAD START PROGRAM,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
MAWH - EAST HARLEM CHS BILINGUAL HEAD START - 111TH,83.0,83.0,77.0,77.0,92.0,82.0,82.0,100.0,100.0
MAWI - NORTHSIDE CENTER DAY SCHOOL,92.0,100.0,97.0,94.0,100.0,91.0,96.0,93.0,100.0
MAWJ - HARLEM GEMS NORTH,73.0,95.0,95.0,96.0,97.0,97.0,94.0,95.0,93.0
MAWW - URBAN CONCEPTS/ROUND THE CLOCK,47.0,97.0,89.0,92.0,95.0,89.0,97.0,95.0,100.0
MAXC - ECDO CHILD START CENTER,100.0,100.0,98.0,99.0,92.0,100.0,100.0,97.0,100.0
MAXH - SAINT ELIZABETH PRE KINDERGARTEN,77.0,100.0,99.0,95.0,87.0,97.0,98.0,100.0,100.0
MAXM - NORTHERN MANHATTAN HEAD START,95.0,100.0,100.0,99.0,99.0,100.0,98.0,95.0,100.0
MAXO - UFBCO,100.0,100.0,99.0,100.0,62.0,97.0,99.0,100.0,98.0
MAXS - WASHINGTON HEIGHTS DCC,100.0,100.0,100.0,100.0,97.0,100.0,100.0,100.0,100.0
MAXT - NICHOLAS CARDELL DAY CARE CENTER,100.0,100.0,96.0,100.0,98.0,99.0,98.0,100.0,100.0
MAXV - DOMINICAN WOMEN'S DEVELOPMENT CENTER,87.0,94.0,96.0,94.0,94.0,99.0,96.0,91.0,96.0
MAXX - VICTORIA CHILDREN'S GROUP,90.0,100.0,100.0,100.0,97.0,100.0,100.0,100.0,100.0
MAXZ - HENRY STREET SETTLEMENT DAY CARE,81.0,86.0,96.0,95.0,78.0,100.0,98.0,89.0,89.0
MAZT - DAWNING VILLAGE,100.0,93.0,92.0,94.0,96.0,97.0,98.0,100.0,93.0
MAZV - NASRY MICHELEN DDC,79.0,93.0,92.0,87.0,91.0,92.0,89.0,93.0,93.0
MAZZ - P.S. 8 LUIS BELLIARD,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
MBAJ - ECDO ADAM CLAYTON POWELL EARLY LEARN CENTER,83.0,100.0,100.0,100.0,89.0,100.0,100.0,100.0,100.0
MBBI - MANHATTAN EARLY CHILDHOOD CENTER,63.0,88.0,72.0,98.0,79.0,94.0,96.0,100.0,88.0
MBCJ - CARMEN CIPRIAN DBA DIVINO NINO DAY CARE,80.0,80.0,100.0,84.0,95.0,90.0,87.0,80.0,80.0
MBCL - BRIGHT HORIZONS CHILD CARE CENTER AT NY-PRESBYTERIAN,71.0,100.0,97.0,95.0,66.0,100.0,100.0,100.0,100.0
MBCQ - GOD IS LOVE REACHING THE HEIGHTS INC.,86.0,100.0,85.0,86.0,93.0,86.0,85.0,100.0,100.0
MBFX - URBAN CONCEPTS/ROUND THE CLOCK,100.0,100.0,100.0,100.0,99.0,100.0,100.0,100.0,100.0
MBHH - CPC-TRIBECA EARLY LEARNING CENTER,94.0,97.0,99.0,100.0,92.0,100.0,98.0,100.0,100.0
MBHV - MOREAU LMSW CHILDREN & FAMILY SERVICES PC,100.0,100.0,100.0,99.0,92.0,100.0,100.0,100.0,100.0
MBIW - CREATIVE STEPS EARLY CHILDHOOD CENTER,71.0,100.0,96.0,100.0,100.0,95.0,94.0,100.0,100.0
MBJV - VICTORIA CHILDREN'S CENTER,94.0,94.0,99.0,98.0,97.0,100.0,100.0,100.0,100.0
MBKU - CPC LITTLE STAR OF BROOME STREET,89.0,96.0,100.0,97.0,98.0,100.0,99.0,100.0,100.0
MBLL - MANHATTAN SCHOOLHOUSE,61.0,88.0,89.0,93.0,96.0,89.0,93.0,100.0,91.0
MBMI - ALL MY CHILDREN DAYCARE UWS,46.0,86.0,84.0,87.0,83.0,93.0,98.0,100.0,93.0
MBMK - VANDERBILT YMCA,88.0,100.0,94.0,100.0,94.0,97.0,96.0,100.0,100.0
MBMN - NYPRESCHOOL 94TH STREET,100.0,100.0,91.0,100.0,94.0,94.0,100.0,100.0,100.0
"MBNG - PARK WEST MONTESSORI, INC.",88.0,88.0,100.0,100.0,97.0,100.0,100.0,88.0,88.0
"MBRM - FUTURE PRINTS CHILDCARE, INC.",86.0,100.0,100.0,97.0,93.0,97.0,100.0,100.0,100.0
QAAF - AL-IMAN SCHOOL,100.0,100.0,100.0,100.0,97.0,100.0,100.0,100.0,100.0
QAAM - BAIS YAAKOV ACADEMY OF QUEENS (METROPOLITAN AVE),100.0,98.0,91.0,93.0,89.0,92.0,92.0,100.0,100.0
QAAV - BNOS MALKA ACADEMY,100.0,97.0,98.0,99.0,98.0,99.0,96.0,100.0,100.0
QABC - CHRIST THE KING COMMUNITY PRESCHOOL,71.0,94.0,91.0,95.0,97.0,94.0,93.0,96.0,96.0
"QABL - GARDEN SCHOOL, INC.",69.0,96.0,94.0,95.0,97.0,99.0,99.0,97.0,100.0
QABS - HOLY CHILD JESUS SCHOOL,77.0,94.0,92.0,97.0,95.0,99.0,97.0,100.0,100.0
QACC - IMMACULATE CONCEPTION SCHOOL,73.0,78.0,91.0,93.0,84.0,95.0,94.0,100.0,82.0
QACJ - JEWISH INSTITUTE OF QUEENS,83.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
QADX - OUR LADY OF THE BLESSED SACRAMENT SCHOOL,83.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
QADY - OUR LADY QUEEN OF MARTYRS CATHOLIC ACADEMY,87.0,97.0,100.0,98.0,93.0,100.0,100.0,94.0,100.0
QADZ - OUR SAVIOUR LUTHERAN SCHOOL - MAIN CAMPUS,67.0,92.0,89.0,99.0,92.0,95.0,98.0,100.0,92.0
QAEG - GRACE LUTHERAN SCHOOL,73.0,100.0,99.0,100.0,89.0,99.0,100.0,97.0,100.0
QAEK - RAZI SCHOOL,100.0,100.0,100.0,100.0,100.0,100.0,93.0,100.0,100.0
QAEN - RESURRECTION ASCENSION CATHOLIC ACADEMY,86.0,93.0,96.0,97.0,90.0,100.0,100.0,90.0,93.0
QAER - SACRED HEART CATHOLIC ACADEMY,79.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
QAES - ST. ADALBERT'S CATHOLIC ACADEMY,88.0,100.0,100.0,100.0,91.0,100.0,100.0,100.0,100.0
QAFF - ST. CLARE CATHOLIC ACADEMY,86.0,100.0,100.0,100.0,89.0,100.0,100.0,100.0,100.0
QAFJ - SAINT ELIZABETH CATHOLIC ACADEMY,84.0,100.0,97.0,100.0,99.0,99.0,100.0,100.0,96.0
QAFY - SAINT KEVIN CATHOLIC ACADEMY,60.0,80.0,85.0,100.0,90.0,100.0,100.0,80.0,80.0
QAFZ - ST. LEO CATHOLIC ACADEMY,93.0,100.0,99.0,100.0,97.0,98.0,100.0,100.0,100.0
QAGP - ST. SEBASTIAN SCHOOL,83.0,96.0,93.0,96.0,89.0,97.0,95.0,100.0,97.0
QAGR - ST. STANISLAUS KOSTKA CATHOLIC ACADEMY OF QUEENS,88.0,98.0,99.0,100.0,89.0,100.0,100.0,100.0,100.0
QAGU - SAINT THOMAS APOSTLE CATHOLIC ACADEMY,,,73.0,85.0,67.0,72.0,90.0,,
QAGW - SESAME SPROUT INC. 95-15 HORACE HARDING EXPRESSWAY,80.0,91.0,100.0,98.0,96.0,100.0,97.0,100.0,100.0
QAHI - SAINTS JOACHIM AND ANNE SCHOOL,100.0,100.0,100.0,100.0,99.0,100.0,100.0,100.0,100.0
QAIR - YESHIVA TIFERETH MOSHE DAY CARE,96.0,100.0,98.0,97.0,96.0,96.0,96.0,100.0,100.0
QAJQ - FOREST HILLS JEWISH CENTER NURSERY AND PRE-K,77.0,100.0,93.0,93.0,100.0,93.0,93.0,100.0,100.0
QAJR - YMCA OF GREATER NEW YORK - FLUSHING,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
QAJX - YMCA OF GREATER NEW YORK - CROSS ISLAND,78.0,100.0,97.0,97.0,89.0,99.0,100.0,100.0,96.0
QAKA - LITTLE MEADOWS EARLY CHILDHOOD CENTER,,80.0,100.0,100.0,100.0,100.0,100.0,100.0,
QAKM - MI NUEVO MUNDO (31-05 51ST STREET),89.0,95.0,100.0,100.0,97.0,100.0,100.0,100.0,100.0
QAKV - HONEYPOT DAY CARE,88.0,82.0,97.0,96.0,86.0,95.0,100.0,100.0,100.0
QAKY - KISSENA CHERRY DAY CARE,100.0,100.0,100.0,100.0,98.0,100.0,100.0,100.0,100.0
QALA - RAINBOW CHILD DEV CENTER,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
QALD - KIDDIE ACADEMY OF LITTLE NECK,92.0,100.0,98.0,100.0,83.0,98.0,98.0,100.0,100.0
QALQ - ELBER ISLAMIC SCHOOL,100.0,100.0,100.0,100.0,81.0,100.0,100.0,100.0,100.0
QAMB - JACKSON HEIGHTS LEARNING CENTER ANNEX,88.0,100.0,100.0,100.0,94.0,100.0,100.0,100.0,100.0
QAMK - LOLLY'S EARLY CHILDHOOD CENTER,83.0,83.0,100.0,100.0,92.0,100.0,100.0,100.0,100.0
QAMO - GREATER RIDGEWOOD YOUTH COUNCIL,57.0,86.0,100.0,88.0,50.0,96.0,100.0,100.0,100.0
QAMS - KID KRAZY,100.0,100.0,100.0,100.0,95.0,100.0,100.0,100.0,100.0
QAMT - RALPH HIRSCHKORN CHILD CARE CENTER,82.0,74.0,94.0,94.0,89.0,100.0,98.0,100.0,76.0
QAMV - SCO FAMILY OF SERVICES JEROME HARDEMAN ECE,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"QANH - Quick Start Day Care Center, Inc.",75.0,84.0,100.0,84.0,81.0,100.0,97.0,78.0,67.0
QANR - MALCOLM X DAY CARE,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"QANS - A TO Z CENTER TOO, INC.",88.0,100.0,95.0,96.0,99.0,95.0,93.0,100.0,100.0
"QANV - HAPPY DRAGON OF USA, INC.",82.0,91.0,100.0,98.0,99.0,100.0,100.0,94.0,94.0
QANZ - Battalion Christian Academy,64.0,97.0,98.0,94.0,64.0,98.0,93.0,100.0,85.0
QAOC - AFRO AMERICAN PARENTS,84.0,100.0,98.0,98.0,89.0,96.0,99.0,100.0,100.0
QAOO - FOREST PARK - BETH JACOB,89.0,100.0,100.0,100.0,88.0,100.0,100.0,100.0,100.0
QAOQ - ROCKAWAY CHILD CARE CENTER,100.0,100.0,100.0,100.0,89.0,100.0,100.0,100.0,100.0
QAOW - ALL MY CHILDREN DAY CARE 6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
QAPB - ALL MY CHILDREN DAY CARE 4,100.0,100.0,100.0,100.0,79.0,100.0,100.0,100.0,100.0
QAPK - CONCERNED PARENTS OF JAMAICA EARLY LEARNING CENTER,98.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
QAPS - BE ABOVE 22 (NEW WORLD EDUCATION CENTER),88.0,97.0,100.0,99.0,92.0,100.0,100.0,100.0,100.0
QAQC - HOWARD BEACH JUDEA CENTER,100.0,100.0,100.0,100.0,73.0,100.0,100.0,100.0,100.0
QARC - LUCILLE ROSE DCC,96.0,100.0,100.0,99.0,91.0,100.0,100.0,100.0,100.0
QARG - SOUTH JAMAICA CENTER FOR CHILDREN AND PARENTS INC. CENTER 1,69.0,96.0,100.0,94.0,100.0,98.0,100.0,100.0,100.0
QARP - Myrtle P. Jarmon ECEC,100.0,100.0,100.0,100.0,70.0,100.0,100.0,100.0,100.0
QARQ - ALL MY CHILDREN,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
QASB - My Little Footprints,100.0,100.0,98.0,100.0,98.0,100.0,100.0,100.0,100.0
QASC - SAINT MEL CATHOLIC ACADEMY,86.0,97.0,100.0,100.0,97.0,100.0,100.0,100.0,100.0
QASD - IMMANUEL GENIUS,,100.0,95.0,100.0,100.0,96.0,94.0,100.0,100.0
QASJ - CIRCLE ACADEMY,63.0,88.0,97.0,88.0,100.0,100.0,92.0,100.0,88.0
QASL - EARLY BIRD II EDUCATIONAL CENTER,93.0,100.0,100.0,100.0,98.0,100.0,100.0,96.0,100.0
QASN - Community Development Institute Head Start,80.0,100.0,97.0,96.0,93.0,93.0,93.0,100.0,100.0
"QAST - ABC PRESCHOOL & KINDERGARTEN CENTER, CORP",78.0,100.0,100.0,100.0,93.0,100.0,100.0,100.0,100.0
QASU - CHILD CENTER OF NY 2,88.0,94.0,94.0,95.0,94.0,97.0,97.0,95.0,93.0
"QASW - CHILDREN'S BIG APPLE, INC.",80.0,96.0,99.0,98.0,87.0,97.0,99.0,100.0,96.0
"QASX - CHILDREN'S BIG APPLE, INC.",75.0,96.0,100.0,100.0,96.0,100.0,100.0,100.0,100.0
"QATC - LITTLE FRIENDS SCHOOL ELMHURST, INC.",86.0,100.0,96.0,96.0,100.0,96.0,96.0,100.0,100.0
QATE - CENTER OF EXCELLENCE SPRINGFIELD GARDENS PRESCHOOL,18.0,89.0,86.0,97.0,69.0,91.0,97.0,92.0,85.0
QATH - Maspeth Town Hall Preschool,74.0,90.0,98.0,95.0,96.0,94.0,93.0,100.0,90.0
QATL - RAINBOW CHRISTIAN PRESCHOOL,75.0,83.0,83.0,87.0,94.0,92.0,89.0,91.0,92.0
QATM - STAR AMERICA PRESCHOOL,83.0,100.0,100.0,100.0,72.0,100.0,100.0,100.0,100.0
QATO - LONG ISLAND CITY YMCA,93.0,100.0,98.0,96.0,100.0,98.0,98.0,100.0,100.0
QATT - PRESCHOOL R US,92.0,92.0,92.0,91.0,98.0,93.0,91.0,100.0,100.0
QATU - EVBO INC. D/B/A JACK & JILL NURSERY SCHOOL,90.0,100.0,100.0,100.0,93.0,100.0,100.0,100.0,100.0
"QATZ - JUDI'S NURSERY, INC.",98.0,98.0,95.0,96.0,89.0,97.0,96.0,98.0,98.0
QAUC - PEE WEE FOLKS,86.0,100.0,100.0,100.0,82.0,100.0,100.0,100.0,100.0
QAUJ - MARTIN L. KING JR. MEM DCC,100.0,96.0,100.0,100.0,77.0,100.0,100.0,100.0,100.0
QAUM - HOME SWEET HOME CHILDREN'S SCHOOL,71.0,100.0,93.0,98.0,88.0,100.0,100.0,100.0,100.0
QAUN - JACK & JILL II,100.0,100.0,100.0,100.0,92.0,100.0,100.0,100.0,100.0
QAUS - LUTHERAN SCHOOLS OF FLUSHING AND BAYSIDE,74.0,98.0,98.0,94.0,89.0,95.0,94.0,100.0,100.0
QAUT - ALL MY CHILDREN DAY CARE 2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"QAVB - BEV'S KIDDIE DAYCARE, INC.",80.0,80.0,79.0,72.0,85.0,80.0,80.0,,80.0
QAVC - BLANCHE COMMUNITY PROGRESS DCC #2,40.0,80.0,100.0,100.0,90.0,100.0,100.0,80.0,80.0
QAVO - OMEGA PSI PHI FRATERNITY,82.0,91.0,100.0,99.0,93.0,100.0,98.0,100.0,88.0
QAVS - SAINT JOHN'S LUTHERAN CHURCH,77.0,77.0,97.0,92.0,81.0,100.0,98.0,100.0,85.0
QAVW - WEST END TEMPLE NURSERY SCHOOL,71.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
QAWC - PACCOR KIDS,83.0,100.0,100.0,100.0,88.0,100.0,100.0,100.0,100.0
QAWG - BRIGHT BEGINNINGS PRE-SCHOOL,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"QAWK - SHOLOM SHOLOM, INC.",100.0,96.0,99.0,98.0,93.0,98.0,99.0,100.0,100.0
